0:0:0:0:0:0:0:1 - - [16/Mar/2021:10:41:24 +0900] "GET /jQuery/chap03/carol.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:10:41:24 +0900] "GET /jQuery/chap03/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:10:41:24 +0900] "GET /jQuery/chap03/carol.js HTTP/1.1" 200 2002
0:0:0:0:0:0:0:1 - - [16/Mar/2021:11:06:10 +0900] "GET /jQuery/chap03/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:11:06:10 +0900] "GET /jQuery/chap03/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:11:06:10 +0900] "GET /jQuery/chap03/carol.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:11:06:10 +0900] "GET /jQuery/chap03/carol.js HTTP/1.1" 200 3155
0:0:0:0:0:0:0:1 - - [16/Mar/2021:11:06:27 +0900] "GET /jQuery/chap03/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:11:06:27 +0900] "GET /jQuery/chap03/carol.js HTTP/1.1" 200 3153
0:0:0:0:0:0:0:1 - - [16/Mar/2021:11:06:51 +0900] "GET /jQuery/chap03/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:11:06:51 +0900] "GET /jQuery/chap03/carol.js HTTP/1.1" 200 3175
0:0:0:0:0:0:0:1 - - [16/Mar/2021:11:07:18 +0900] "GET /jQuery/chap03/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:11:07:18 +0900] "GET /jQuery/chap03/carol.js HTTP/1.1" 200 3179
0:0:0:0:0:0:0:1 - - [16/Mar/2021:11:14:39 +0900] "GET /jQuery/chap03/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:11:14:39 +0900] "GET /jQuery/chap03/carol.js HTTP/1.1" 200 2898
